case_index,batch_index,graph_index,original_mode_index,base_mode_index,compare_mode_index,original_risk,base_risk,risk_gap,original_fde,base_fde,compare_fde,original_miss,base_miss,compare_miss,base_switch,compare_switch,blocked_by_compare_margin,base_hit_to_miss,base_miss_to_hit,compare_hit_to_miss,compare_miss_to_hit
74,9,2,4,4,4,0.625967800617218,0.625967800617218,0.0,0.16404631733894348,0.16404631733894348,0.16404631733894348,0,0,0,0,0,0,0,0,0,0
75,9,3,2,4,2,0.6558181643486023,0.5883927941322327,0.06742537021636963,1.698638916015625,4.396780967712402,1.698638916015625,0,1,0,1,0,1,1,0,0,0
76,9,4,4,4,4,0.4194328784942627,0.4194328784942627,0.0,0.7067598104476929,0.7067598104476929,0.7067598104476929,0,0,0,0,0,0,0,0,0,0
77,9,5,4,4,4,0.3743618130683899,0.3743618130683899,0.0,0.8043764233589172,0.8043764233589172,0.8043764233589172,0,0,0,0,0,0,0,0,0,0
78,9,6,4,4,4,0.44872429966926575,0.44872429966926575,0.0,1.255840539932251,1.255840539932251,1.255840539932251,0,0,0,0,0,0,0,0,0,0
79,9,7,2,4,2,0.43718305230140686,0.420606404542923,0.016576647758483887,0.07326473295688629,1.2543914318084717,0.07326473295688629,0,0,0,1,0,1,0,0,0,0
80,10,0,4,4,4,0.7331799864768982,0.7331799864768982,0.0,2.140836477279663,2.140836477279663,2.140836477279663,1,1,1,0,0,0,0,0,0,0
81,10,1,4,4,4,0.7200282216072083,0.7200282216072083,0.0,0.8044484257698059,0.8044484257698059,0.8044484257698059,0,0,0,0,0,0,0,0,0,0
82,10,2,2,2,2,0.6693176627159119,0.6693176627159119,0.0,9.202302932739258,9.202302932739258,9.202302932739258,1,1,1,0,0,0,0,0,0,0
83,10,3,0,4,0,0.7974994778633118,0.7211776971817017,0.07632178068161011,8.739599227905273,9.71368408203125,8.739599227905273,1,1,1,1,0,1,0,0,0,0
84,10,4,4,4,4,0.5588096976280212,0.5588096976280212,0.0,2.7825396060943604,2.7825396060943604,2.7825396060943604,1,1,1,0,0,0,0,0,0,0
85,10,5,4,4,4,0.8067306280136108,0.8067306280136108,0.0,1.3704665899276733,1.3704665899276733,1.3704665899276733,0,0,0,0,0,0,0,0,0,0
86,10,6,4,4,4,0.31854742765426636,0.31854742765426636,0.0,0.7549203038215637,0.7549203038215637,0.7549203038215637,0,0,0,0,0,0,0,0,0,0
87,10,7,4,4,4,0.7830883264541626,0.7830883264541626,0.0,0.7675802707672119,0.7675802707672119,0.7675802707672119,0,0,0,0,0,0,0,0,0,0
88,11,0,4,2,4,0.32500484585762024,0.26638245582580566,0.058622390031814575,0.400164932012558,0.8167288303375244,0.400164932012558,0,0,0,1,0,1,0,0,0,0
89,11,1,4,4,4,0.6383282542228699,0.6383282542228699,0.0,0.6594362854957581,0.6594362854957581,0.6594362854957581,0,0,0,0,0,0,0,0,0,0
90,11,2,4,4,4,0.5366013050079346,0.5366013050079346,0.0,1.893831729888916,1.893831729888916,1.893831729888916,0,0,0,0,0,0,0,0,0,0
91,11,3,4,4,4,0.719420850276947,0.719420850276947,0.0,0.5267202258110046,0.5267202258110046,0.5267202258110046,0,0,0,0,0,0,0,0,0,0
92,11,4,5,5,5,0.7696382403373718,0.7696382403373718,0.0,5.96120548248291,5.96120548248291,5.96120548248291,1,1,1,0,0,0,0,0,0,0
93,11,5,2,4,2,0.6100219488143921,0.5927208662033081,0.017301082611083984,4.899754047393799,3.628916025161743,4.899754047393799,1,1,1,1,0,1,0,0,0,0
94,11,6,4,4,4,0.542629599571228,0.542629599571228,0.0,0.6899476647377014,0.6899476647377014,0.6899476647377014,0,0,0,0,0,0,0,0,0,0
95,11,7,4,4,4,0.6969782710075378,0.6969782710075378,0.0,0.4638747274875641,0.4638747274875641,0.4638747274875641,0,0,0,0,0,0,0,0,0,0
96,12,0,4,4,4,0.8189731240272522,0.8189731240272522,0.0,1.28203284740448,1.28203284740448,1.28203284740448,0,0,0,0,0,0,0,0,0,0
97,12,1,4,5,4,0.7427494525909424,0.6474912762641907,0.09525817632675171,1.9226130247116089,1.7258983850479126,1.9226130247116089,0,0,0,1,0,1,0,0,0,0
98,12,2,5,5,5,0.528878927230835,0.528878927230835,0.0,5.568313121795654,5.568313121795654,5.568313121795654,1,1,1,0,0,0,0,0,0,0
99,12,3,4,4,4,0.34217897057533264,0.34217897057533264,0.0,1.2815852165222168,1.2815852165222168,1.2815852165222168,0,0,0,0,0,0,0,0,0,0
100,12,4,4,4,4,0.6277071237564087,0.6277071237564087,0.0,3.420632839202881,3.420632839202881,3.420632839202881,1,1,1,0,0,0,0,0,0,0
101,12,5,4,4,4,0.49701187014579773,0.49701187014579773,0.0,0.6169057488441467,0.6169057488441467,0.6169057488441467,0,0,0,0,0,0,0,0,0,0
102,12,6,4,4,4,0.5426194071769714,0.5426194071769714,0.0,1.1204334497451782,1.1204334497451782,1.1204334497451782,0,0,0,0,0,0,0,0,0,0
103,12,7,4,4,4,0.553149938583374,0.553149938583374,0.0,0.7571853995323181,0.7571853995323181,0.7571853995323181,0,0,0,0,0,0,0,0,0,0
104,13,0,4,5,4,0.726921021938324,0.694750964641571,0.03217005729675293,0.8873095512390137,1.6526249647140503,0.8873095512390137,0,0,0,1,0,1,0,0,0,0
105,13,1,4,4,4,0.5006699562072754,0.5006699562072754,0.0,0.5272284746170044,0.5272284746170044,0.5272284746170044,0,0,0,0,0,0,0,0,0,0
106,13,2,4,4,4,0.4759148359298706,0.4759148359298706,0.0,4.455305576324463,4.455305576324463,4.455305576324463,1,1,1,0,0,0,0,0,0,0
107,13,3,2,4,2,0.6098068356513977,0.5750448107719421,0.034762024879455566,1.3419032096862793,0.6965467929840088,1.3419032096862793,0,0,0,1,0,1,0,0,0,0
108,13,4,4,4,4,0.3016692101955414,0.3016692101955414,0.0,0.9649810194969177,0.9649810194969177,0.9649810194969177,0,0,0,0,0,0,0,0,0,0
109,13,5,4,4,4,0.44286152720451355,0.44286152720451355,0.0,4.064011096954346,4.064011096954346,4.064011096954346,1,1,1,0,0,0,0,0,0,0
